Altium Designer Pick and Place Locations
D:\eSpark Consultants\smartmasjid-hardware\Design Files\IoT-Speaker-v1.3\Project Outputs for IoT-Speaker-v1.3\Pick Place for IOT_Speaker-PCB-v1.3.csv

========================================================================================================================
File Design Information:

Date:       21/05/24
Time:       12:58
Revision:   2a03fc6f80d799cf1a794f2d0602e621db3f9f46
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R2","26.1646mm","-44.3941mm","BottomLayer","0","26.1646mm","-44.3941mm","25.4026mm","-44.3941mm"
"R3","49.3085mm","-23.3692mm","TopLayer","0","49.3085mm","-23.3692mm","48.5465mm","-23.3692mm"
"R4","49.3085mm","-21.9722mm","TopLayer","0","49.3085mm","-21.9722mm","48.5465mm","-21.9722mm"
"R5","32.1889mm","-32.0052mm","TopLayer","0","32.1889mm","-32.0052mm","31.4269mm","-32.0052mm"
"R6","36.5768mm","-25.0123mm","TopLayer","180","36.5768mm","-25.0123mm","37.3388mm","-25.0123mm"
"R7","18.1427mm","-41.5048mm","TopLayer","180","18.1427mm","-41.5048mm","18.6126mm","-41.5048mm"
"R8","19.7683mm","-42.2668mm","TopLayer","90","19.7683mm","-42.2668mm","19.7683mm","-43.0288mm"
"R9","16.2224mm","-34.3622mm","BottomLayer","0","16.2224mm","-34.3622mm","15.4604mm","-34.3622mm"
"R10","21.4884mm","-2.2098mm","TopLayer","270","21.4884mm","-2.2098mm","21.4884mm","-1.4478mm"
"R11","35.4807mm","-12.7672mm","TopLayer","90","35.4807mm","-12.7672mm","35.4807mm","-13.5292mm"
"R12","36.2681mm","-14.7230mm","TopLayer","0","36.2681mm","-14.7230mm","35.5061mm","-14.7230mm"
"R18","9.3091mm","-30.9257mm","TopLayer","180","9.3091mm","-30.9257mm","10.0711mm","-30.9257mm"
"R19","21.8511mm","-30.0048mm","TopLayer","0","21.8511mm","-30.0048mm","21.0891mm","-30.0048mm"
"R20","25.3238mm","-24.6160mm","TopLayer","270","25.3238mm","-24.6160mm","25.3238mm","-23.8540mm"
"R21","19.8445mm","-8.2816mm","TopLayer","90","19.8445mm","-8.2816mm","19.8445mm","-9.0436mm"
"R22","8.3891mm","-8.1546mm","TopLayer","90","8.3891mm","-8.1546mm","8.3891mm","-8.9166mm"
"R26","14.3089mm","-29.8245mm","TopLayer","0","14.3089mm","-29.8245mm","13.8390mm","-29.8245mm"
"R27","11.9503mm","-32.6690mm","TopLayer","90","11.9503mm","-32.6690mm","11.9503mm","-33.1389mm"
"R28","15.5467mm","-32.1320mm","BottomLayer","0","15.5467mm","-32.1320mm","14.7847mm","-32.1320mm"
"R29","25.1023mm","-0.1028mm","TopLayer","180","25.1023mm","-0.1028mm","25.8643mm","-0.1028mm"
"R30","22.9941mm","-2.2110mm","TopLayer","90","22.9941mm","-2.2110mm","22.9941mm","-2.9730mm"
"R31","43.7357mm","-9.4398mm","TopLayer","0","43.7357mm","-9.4398mm","42.9737mm","-9.4398mm"
"R32","43.7357mm","-10.9384mm","TopLayer","0","43.7357mm","-10.9384mm","42.9737mm","-10.9384mm"
"R34","43.7357mm","-7.9412mm","TopLayer","0","43.7357mm","-7.9412mm","42.9737mm","-7.9412mm"
"R35","43.7357mm","-6.4426mm","TopLayer","0","43.7357mm","-6.4426mm","42.9737mm","-6.4426mm"
"R36","36.9539mm","-8.8048mm","TopLayer","90","36.9539mm","-8.8048mm","36.9539mm","-9.5668mm"
"R37","32.7883mm","-8.8302mm","TopLayer","90","32.7883mm","-8.8302mm","32.7883mm","-9.5922mm"
"R38","31.4072mm","-8.7889mm","TopLayer","90","31.4072mm","-8.7889mm","31.4072mm","-9.5509mm"
"R39","35.4299mm","-8.8048mm","TopLayer","90","35.4299mm","-8.8048mm","35.4299mm","-9.5668mm"
"R54","16.2224mm","-35.6256mm","BottomLayer","180","16.2224mm","-35.6256mm","16.9844mm","-35.6256mm"
"R55","21.6867mm","-33.9880mm","BottomLayer","90","21.6867mm","-33.9880mm","21.6867mm","-34.7500mm"
"R56","22.5298mm","-29.8450mm","BottomLayer","180","22.5298mm","-29.8450mm","23.2918mm","-29.8450mm"
"R65","36.3951mm","-10.8114mm","TopLayer","180","36.3951mm","-10.8114mm","37.1571mm","-10.8114mm"
"R66","34.1091mm","-7.2300mm","TopLayer","90","34.1091mm","-7.2300mm","34.1091mm","-7.9920mm"
"R67","31.3818mm","-6.0813mm","TopLayer","90","31.3818mm","-6.0813mm","31.3818mm","-6.8433mm"
"R69","34.1122mm","-47.9552mm","TopLayer","180","34.1122mm","-47.9552mm","34.8742mm","-47.9552mm"
"SW1","14.7391mm","-47.7532mm","TopLayer","335","14.7391mm","-47.7532mm","11.1596mm","-47.7392mm"
"SW4","46.5705mm","5.1935mm","TopLayer","232.9","46.1518mm","4.8768mm","47.2332mm","2.7424mm"
"SW5","20.7442mm","10.5067mm","TopLayer","283","20.9804mm","10.3886mm","23.3115mm","9.8492mm"
"SW6","34.4575mm","10.5740mm","TopLayer","258","34.2392mm","10.4648mm","36.1239mm","8.9907mm"
"SW7","57.6143mm","-27.7888mm","TopLayer","73","57.6143mm","-27.7888mm","55.2296mm","-30.4582mm"
"SW8","8.6795mm","4.9460mm","TopLayer","308","9.0932mm","4.6228mm","11.4339mm","5.1191mm"
"U1","38.1325mm","-33.4276mm","TopLayer","0","38.1325mm","-33.4276mm","35.2240mm","-31.5226mm"
"U2","35.0845mm","-26.8966mm","TopLayer","0","35.0845mm","-26.8966mm","34.3445mm","-26.1466mm"
"U3","19.0445mm","-39.6720mm","TopLayer","0","19.0445mm","-39.6720mm","18.2445mm","-39.1220mm"
"U4","14.7307mm","-19.3560mm","TopLayer","90","14.7307mm","-19.3560mm","5.8507mm","-28.1060mm"
"U7","31.9603mm","-21.1340mm","TopLayer","180","31.9603mm","-21.1340mm","33.2603mm","-22.0840mm"
"U8","25.4985mm","-2.9628mm","TopLayer","180","25.4985mm","-2.9628mm","26.6985mm","-3.9128mm"
"U16","39.8749mm","-10.0594mm","TopLayer","0","39.8749mm","-10.0594mm","38.4499mm","-9.3094mm"
